00-00	E'E JNA JAU LA KIO LE KOe MUKUU KIO NIA NE KIO TSA RUeJNIA
00-01	Koe.
00-02	Ejmo' chu e kio tsa makaloo ne sia majmo'juis†kio mukuu sia maours e kio kalakues i sia juyi' tinei' kio juso kia' kure i tasia li ko' sasia' kio lej† tsa rue jnia tsa tio jila suo.
00-03	Tue.
00-04	Ejmo' e sasno sia kalakues ne sia i ki ekio juso e kio sou e kani male i mugu† sia nioa e kio michii kio mukuu ne e kio jua'ts ale kal† jue'ga jmoo sanue' e ma kua koe mukuu e tiou jnia re lej† tsa ruejnia, maka k† y koe ne ekio tini; Lii maji jau kioe ne jna l† jaea soul li lijmo' jnia le nio jnia kio juise kio.
00-05	Ne.
00-06	Ejmo' kio jna juso kiojnia i jmo i tsa l†̎ ta jue'; mojoo tsa nue' li lijmos ii juso ijmoo tsa jue' ini e kio tsa ni ki jo kaaes mugu† ne ekio sia kues ijmonia lej† ijnio jnia.
00-07	Kiue.
00-08	Ejmo' chu kio lej†̎ jnia jmo' tio ilii ta ne ele' kioe amei joe' kio le koe mukuu.
00-09	Naa.
00-10	Ejmo'kio lej†̎ tsa juu ne ekio le koe mukuu e makajmos tso ni lii jmo' i jau juso kio sanue' ji roo juyi' ne iki nue sou ne kure jmo' juso le sanue' ne tsam†̎ y makales' makal† ijmos sou re kio lej†̎ lene soo ti sa†' kio tsa siae gi li jmos jue'ga kio lej†̎ tsaloo.
00-11	Jni.
00-12	Ejmo' re kio lej†̎ tsou tsa kua e'e jmos ilii re kio lej†̎ sou le koe mukuu, ne mako mukuu ijmos kusoo juso kio tsa loo kati nei† kio tsa nu'; Ejmo' koe kio lej†̎ ilaa juso ne saloo i jue' ijmo' i kio ilii imakajua's.
00-13	Kio.
00-14	Jau kio lej†̎ ikajuats ji kalets kio mukuu kuo juso kio tsou ijmos re kio lej†̎ juu ne mukuu jmo' kio, ne jmo ree kio tsou ne tsa kua nita tsos†̎ kio sane, jmos i li t†̎ e'e jau la mako' yo juso i le' le no', ne iso toes ta mojoo lii re ni jmae ne kio le koe mukuu, kalakue ne makachas kio mukuu ne jmo' isoo, kio leji juu leta ue mukuu kua tsa jmoo ai'.
01-00	Jau Koe (1).
01-01	Lej†̎ ni sou tsa lisia ijaa sia ikou' ne kojo ji ne juso ne jmo' re ju i s†' jmo' noe sala ne sasno.
02-00	Jau Tue Ras† Koe (2).
02-01	Lej† tsou sia jusoo ne tsa makaloo jua'ts ne ila le' sia i sia lej†̎ tsa rue nia koe ini lejnia sam†̎ ne sanue' jumei jau kio kua' ne sale' jau kio tsa soo ini ne lej†̎ tsou eta jmo', le koe ni jmae, le koe jisia kau' ne j lisia tsa tinii.
02-02	Tasia ligees ja echitoo ni mixii ikajmos tsa soo ti ini ne ichitooe ni mixii ji le' ji jmo' i le koe mukuu ne le koe ni jmae ne le koe juu kio nia kio lej†̎ tsou, koe ni lekoe juu kio tsa ruejnia ne tasia lii lekoe mukuu; tasia lijmos lej†̎ inio nia guu kaaes mugu† tasia li kues inios jmos tasia makaloo.
03-00	Jau Ne (3).
03-01	Lej†̎ tsou lisiaa mukuu e t†̎ tsa makaloo ne lijmos i tsou.
04-00	Jau Kiue (4).
04-01	Jijaa tsou sia lijmos ta lejae ja' ne tasia lijmos ta sam†̎ kus†leja lajue; lej†̎ tsou kaa mugu† laj† gi jmos ta tasia rela† lene le koe mukuu.
05-00	Jau Naa (5).
05-01	Ijaae tasia lijmos i kaaes mugu† tasia lipaas tsou; tasia lijmos la† le tsapa ja' ne muguu ne.
06-00	Jau Jni (6).
06-01	Lej†̎ tsou lit†̎ le koe mukuu mojoo li ki ta lej†̎ jau chitoo ni mixii.
07-00	Jau Kio (7).
07-01	Lej†̎ jnia li kuree tini tsa juu ne sia; kuree lit†̎ jmo' i le koe juu. Lej†̎ sia lit†̎ kuree ijmos i sia re la† lej†̎ tsa kaa mugu† ne tasia lijmoo jna na takajua'juu ne tasia re la† tasia lijmo' lene iti' gu† jna tsa kaa mugu†.
08-00	Jau Jna (8).
08-01	Lej†̎ tsou esia lit†̎ mojoo mixii kios, tini tsa nita ni jmae tsa ki mojoo maours e kio sia rela† mojoo lii ree mixii kios gu† tasia lijmo' tsou iti's e kio tsou e ree lati's makalaku†̎s e chitoo ni mixii lit†̎.
09-00	Jau Nue (9).
09-01	Jijaa tsou tasia lisae's mojoo soo nei' ni, tasia lisoos ti jo sia'.
10-00	Jau Kia (10).
10-01	Lej†̎ tsou sia t†̎ kuree kio lej†̎, e ne i sii lej†̎ tsou sia jusoo gi si† tsa li ta tsamakaloo tasia jmos kio gaaes, mojoo li ki' e t† e jmos e kio nasoo e kio soo kios leji' chitoo ni mixii kio.
11-00	Jau Kia Koe Ras† Koe (11).
11-01	Lej†̎ tsou sia t†̎ li lijmos tasia si† so tasia malaki† so lejua' ni mixii ji lijmos ji sii' lej† tsou i makajmos iso mojoo maji jo kios.
11-02	Jijaa sia li ki'soo ikajmo's tasia isoo le koe ni jmae ne le koe mukuu. Tasia lijmo's inios tsoo jue' ika jmos ale kal†.
12-00	Jau Kia Tue (12).
12-01	Jijaa sia lijmo la† kio tsou ji kua, neit'kios tasia lile' jule kio tsou. Lej†̎ tsou t†̎ ijmos i lej†' chitoo ni mixii, tasia likaaes mugu†.
13-00	Jau Kia Ne Ras† Koe (13).
13-01	Lej†̎ tsou t†̎ le koe oju† tsa makaloo ne li jmos neit'kios gi nios.
13-02	Lej†̎ tsou t†̎ li kui†̎' le koe mukuu lii kui† juu kia' ne lii ligi' juu kios na lene jua' michii kios.
14-00	Jau Kia Kiue Tas† Koe (14).
14-01	Ti ma nios saaes nue, laj† tsou t†̎'lisoos tijo xia' jo limaour's rues le koe mukuu.
14-02	Lej†̎ ila t†̎ tsou tasia lijmos ixia' i jua' tsa kia mixii gi le' isiaes nue, ela† i kajmo' ne tasia kajmo' gi koe sia lisaaes nue le koe mukuu.
15-00	Jau Kia Naa Ras† Koe (15).
15-01	Lej†̎ tsou t†̎ koe juu ikua.
15-02	Jijaae tsou tasia lijmos la† kio rue' le koe juu kionia, jijaa tsou tasia lii di chi kuna tsou kio juu kionia ne le koe ni jmae.
16-00	Jau Kia Jni Ras† Koe (16).
16-01	Tsa nu' ne tsam†̎ tima maj†ngs kiajnaa nii lej†nia ema t†̎, lej†nia tsa liae ne tsa tio le koe ni jmae kio tsa so kua', tsa maligi kuo ne malijmo nei' kios le koe ni jmos i ka gii kuos, ti' maka gi' kuos, na tasia nios re rue'le gi gooes li tooes rue's.
16-02	Tima nios legi gooes lii ligii kuos.
16-03	Ne tasia tsou tasia juu ne t†̎ tsou juu ejmos i kio tsou.
17-00	Jau Kia Kio Ras† Koe (17).
17-01	Lej†̎ tsou ti kio ngaes ne kio lej†̎.
17-02	Jijaa sia liki' wue kio tsou.
18-00	Jau Kia Jnaa (18).
18-01	Lej†̎ tsou lii t†̎ ijua' s†'s tsa so kua'. Ne t†̎ jna tsa kam†̎ gi kuaa tsa kue jupii nue ge' ti gi kuo' lii lijmo'chijo juu o ni jmae o le koe mukuu mojoo e'e sami' ne tsa kae ne kio leji tsa rue' jnia.
19-00	Jau Kia Nue (19).
19-01	Lej†̎ tsou t†̎ ili le' ne lii jmo' xii ila t† nue mojoo sia li jmo's nue tsou.
20-00	Jau Kiu (20).
20-01	Lej†̎ tsou t†̎ lijmos ijua' s†'s, ne lii jmoo sou kalej†s mojoo tsataes le koe juu mojoo jmos ta leji.
20-02	Jijaa tsou tasia lisoo na sia nios, soos na nios.
21-00	Jau Kiu Ras† Koe (21).
21-01	Lej†̎ tsou t†̎ le' tini tsa juu o tini tsa nita le koe ni jmae, eli le' ku'tso tsa si' ti ni tsa juu.
21-02	Lej†̎ tsou t†̎ le' eg†s koeni lej†̎ ta lekoe ni jmae.
21-03	Eyoue s†̎ juu lej† tsou tsa s†̎i tini nita tsako' mixii chima tsamakaloo lej†̎ tsou lekoe mukuu.
22-00	Jau Kiu Tue (22).
22-01	Lej†̎ tsou tsa chitoo je juu, ti jmos i le koe ni jmae le koe mukuu lej†̎ tsou tsa toe' koeni t†̎ kau', makou's ne tsamakaloo ekio tsou lii jmo' re kio juu.
23-00	Jau Kiu Ne (23).
23-01	Lej†̎ tsou t†̎ ta, tsamakaloo takios koere mojoo mayoue s†̎ lej†̎ tsou in† koe juu lej†̎ tsou sia makat† ta.
23-02	Lej†̎ tsou t†̎ jmos ta ne emamaes kure lej†̎ rues ne jmos i ta kios.
23-03	Lej†̎ tsou tsa dijmo ta t†̎ kau' kure mojoo ku's tsa rues, mojoo lisiae lej†̎ tsou tsa kua mukuu, mojoo e mayaaes e jua' nio tsou.
23-04	Lej†̎ tsou t†̎ jupii jna tioes koe jau lej†̎ tsou mojoo koe re jmos i kios.
24-00	Jau Kiu Kiue (24).
24-01	Lej†̎ tsou t†̎ jupii mojoo jnaas koe wua mojoo naas ta kios na makalooes.
25-00	Jau Kiu Naa Ras† Koe (25).
25-01	Lej†̎ tsou t†̎ koe ni mojoo kuas re lej†̎ tsa rues, mojoo jmos i ni s†'s kios ne mojoo kuas re, ne mojoo ku're, mojoo t†̎ mukues, ne mojoo t†̎ nei' kios, mojoo t†̎ m†̎, ne mojoo li t†̎ lej†̎ ijmoue' nei' kios, mojoo t†̎ koe mixii ekuee jupii kia' mojoo kues m†̎ nakalasoe, naka jue nikuo' e mamaes kia'nue, na kuas na masadoe sia lii jmo' ta e mamaes kia nue.
25-02	Tima ni' jons t†̎ ejmo' i ne s†̎. Lej†̎ daue pi tsa lisiae ekio tsa di gi kuo t†̎ kure jmo' i.
26-00	Jau Kiu Jni Ras† Koe (26).
26-01	Lej†̎ tsou t†̎ e'es mixii. Tasia mamaes kio t†̎ kati kut†s xii kios, kati kuis xii jue' nasia kau' isia' xii ko's.
26-02	Lej†̎ tsou lit†̎ xii tsa ni t†̎ ne tsamakaloo e nis a le t† le koe mukuu ne lej†̎ tsa le' jumei, ne jmos laj† ta sia le koe mukuu mojoo sia ti tsou.
26-03	Jmeis t†̎ inios e xii nios kio joes.
27-00	Jau Kiu Kio Ras† Koe (27).
27-01	Lej†̎ tsou t†̎ ejmos tsamakalooe ne jmos le inios juu kios mojoo li†s ta majau mojoo chae lej†̎ i t†s juu kios.
27-02	Lej†̎ tsou t†̎ ne kues jupii t†̎ ne tsamakalooe, lej† tsou lijmos xii kio jmei kios.
28-00	Jau Kiu Jnaa (28).
28-01	Lej†̎ tsou t†̎ jmos koe jau le koe mukuu ne t†̎ tsamakaloo lej†̎ chitoo ni mixii mojoo jmoo jna isoo ta.
29-00	Jau Kiu Nue Ras† Koe (29).
29-01	Lej†̎ tsou esiaa ejmos ta tini juu kios lii jmos ta tsamakaloo ne elijmos kio lej†̎ tsou.
29-02	E t†̎ tsou tsamakaloo ne lej†̎ tsou esi†̎ ja le chitoo ni mixii mojoo t†̎ jupii ne t†̎ tsamakaloo, lej†̎ tsou i mojoo re tioe tsou.
29-03	Le t†̎ tsamakaloo tasia lijmos isia' le chitoo ni mixii le koe mukuu.
30-00	Jau Kiu Kia (30).
30-01	Tasia chitoo ni mixii tasia li jmos jna isia' ijoo jmo'jna la chitoo ilaa mojoo kuee jupii ne t†̎ le koe ni jmae koe cha tsou, elijmos ta mojoo lijmos koe tso lej†̎ t†̎ ne makaloo le ichitoo ni mixii la.
