00-00	’Kwani gi mony’cesh tor gi gwo mo gom to jin cila wathimpa en’thi/ mo.
00-01	Yansan a’di ita montel sho’ka ’cesh mo gom wathimpa en’thi mo mmota gi tom piti jin cila a’di mo dhali mmomii to ka para po/ mo. E bwamani kung gu’b piti mo e mongka’b jin ’konu ki ’kus mo dhali gom mong’ko ki ’dantar mo dhali ’ko ki mongku’th is mo e bwamani ’kwani gi mony’cesh mo.
00-02	Hili, haali yansan a’di ita monto'c ’kus mo gom wathimpa en’thi/ mo e bwamani kung gu’b piti mo mmo’ko ki mondek is mo dhali mmo’koki jing co’k mo a’di jin kalki mii gi buye gi wathimpa en’thi/ mo isa dhana/ mo dhali mii jin toru mii eya tente/ mo e bwamani ’kwani gi mony’cesh mo, a’di jin enkina wathimpa en’thi/ mo mmo/o gwo mo gi darki mongko/ is mo dhali monggam gwo is mo dhali mmodi ki ’kus mo ’peni mongko/ is mo dhali ki a’di miin ma du ngapki nyanye/ mo mmo’thek ’bam piti imis mo gom ’kwani mo.
00-03	Ma gom a’di ta isi miim ’borga/ mo, wakki/ wathim pa en’thi/ yansan diki tagi to kun butha a’di kun tana a’di mo tani, a’di midi tu’ka po/ mo mmomii mii ma gwar’de/ mo dhali mii gunn kun siri'ckunu a’di apo/ ki sho’k mo. Gom isi kan mo tani, wathim pa en’thi/ yansan ngapa’d ki a’di minu cesh ka po/ ki gwongkan kun ta gwongkan gom wathimpa en’thi/ mo.
00-04	Wakan a’di yansan a’di ita miim ’boro’d jin midi uk mong’ko jin ’kokunu ka mugu mo e bwamani bampa/ gi kal gi ’kwaniny’cesh mo.
00-05	A’di imina ’kwani gi mony’ceshi mish gwo ’ban ki miingkar/e gi monggam gwo is gom miingkar/e di’d mo e bwamani ’kwanim pa en’thi/ mo e mii kun nyakka’d kan mo kun mina uni ta gi she/ yol mo gom miim buye wathim pa en’thi/ mo dhali mii kun miinu to mo ka para po/ mo gom ’kwaning gwath mo dhali gom up mo mmotor mii kun nyakku ’ko mo e mong’koki/e gi mony’cesh mo dhali e mo jin mong’konu ki ’kus e bwamani ’kwani mo.
00-06	Yansan a’di misha uni gunn kun dhunu mo ki she/ mo ’peni bampam buni mo kun mina uni imish gwo ’ban mmobu’th tong’kup buni mo mmonyak to mii ki ’kwani gi mony’cesh kun wothana woth mo gom mmo’dek gi mii gi ’kwani kun wothkina woth mo isi mis mo gom montak mo dhali gom mii kun hilu mo mo ka ’thime mo dhali mmoci mo jin ’konu ki ’kus mo.
00-07	Haali/ mong’ko ki ’kus yansan a’di ita dhan gumpa miim ’borgang gana/ mo mmothim mii mo gom mo jin minu ka mii e mo gom gwongkan yansan mo.
00-08	Shwane/, wakan ki mii yansan mo tani,
00-09	Adhan montul isa caaga/ jin miinu ka ngul’kup mo
00-10	A’di thosonki’da ris mii gwansan is mo kun miinu kal ’kupa ngwa/ pa mo. Gom ’kwani i’baar mo dhali gom kal gi ’kwaniny'ceeshi ’baar mo dhali goma dangkara/ gi ’kwani ka ’dete/ ’dete/ mo. Dhali goma ris ushi mii gunn kun nyakkunu to mii mo e bwamani ’kwani mo mmokar mii yansan eya tente/ mo e bwamani ’kwani mo. A’di minu tor ’kwani gwo mo e mo ma warka/ mo mmokar montak mo gom miim buye ki wathim pa en’thi/ mo dhali mo jin ’konu ki ’kus mo dhali mombar jin minu bar mo, kal gi ’kwaniny’cesh mo dhali gwo ma aris ’pengkuman bampa/ gi kal gi ’kwaniny’cesh mo, jin minu cesha aris bampa/ gi mony’cesh ka apo/ ki ’bore/ mo dhali mmopi gwo mo dhali mmohila hil mo, e bwamani ’kwanin su/ kun tana ’kang ’kup gi bampam buni mo dhali e bwamani ’pengkuman bampam buni mo e bwang’kwarany gi ’bame’d gi kun tiya kun ta gi moshirr kun jikina ji mo.
01-00	’Ban 1
01-01	Aris ’kwaniny’ceshi ’baar mo dho’thkunu ’bakany mo dhali mmomiiya tu’c imontal ’de/ mo dhali mii ma kar/e mo. Uni mini ta gi gwo mo dhali mii mo dhali uni mini mii ka karambuye/ ’kup ki cin tiya mo e shi/in mo dhali mii kun tanu ikam mo.
02-00	’Ban 2
02-01	Aris ’kwani ’baar mo ka ’dete/ ’dete/ yukunu mo e mii ma ising gana/ mo dhali gwo jin torkunu mo gom mong’ko jin ’konu ki ’kus mo, ki dar gi mo jin ’konu ka kwa/um bwa ki she/ ki she/ mo, hili ka Awak mo, jamas, wathing gwath dhali a’bom mo, ’twa/ mo, mmolunga lung mo, imanmii gwo a’cesh mo walla gwon tiya mo wathi/ jin cila bampa/ mo walla amannyak to mii mo, dhali mal mo, dhali mondho’th mo.
02-02	Hili, akwa/um bwa minu ’koki mii mo e ’kwani kun mii gwo a’cesh mo, dhali mmomii to ka para po/ mo me’d jin dhala gwongkan a’di bway mo walla eya ris kal gi ’kwaniny’cesh mo e bampa/ mo walla e ’pengkuman bampa/ mo a’di jin ta ji gi wathi/ mo, walla a’di di’d ki ’pen piti mo, mii ma kar/e mo, diki ji is piti a’di ’de/ mo walla e ’bame’di kun tiya kun ta gi moshirr kun jikina ji mo.
03-00	’Ban 3
03-01	Aris ’kwani ’baar mo ka ’dete/ ’dete/ mini ’ko ’bakany e mong’koki/e mo, mmokwanya kwany mo dhali wathi/ midi ca’bki ’dantar mo.
04-00	’Ban 4
04-01	Wathin tal ’deng kamu/ minu ’koki mii ki miiny cingkina/ mo walla ka jinthus mo, miiny cingkina/ mo dhali mii jin yolkunu cingkina/ minu non ’twa/ mo eya aris jamas gi miim buni ki she/ ki she/ mo.
05-00	’Ban 5
05-01	Wathin tal ’deng kamu/ minu ’koki ’kosh mo walla miinu ’koki jee mo, wathi/ minu ’koki mii ka jinthus mo walla minu ’koki sirija apo/ gi sho’k mo walla minu ’koki dor mo.
06-00	’Ban 6
06-01	Aris ’kwani ’baar mo ka ’dete/ ’dete/ minu dhu ki montak ki ’twangkal kuku/ mo me’d wathi/ jin diki’d e bung’kus gi gwongkan mo.
07-00	’Ban 7
07-01	Aris uni ’baar mo inyakkan imontal ’de/ mbwambor gi gwongkan mo dhali uni yukunu mo ki dargi mii ma gwar’de/ mo e mo jin miinu cesh uni ka po/ imontal ’de/ gi gwongkan mo. Aris uni ’baar mo yukunu imontal ’de/ mo e mo jin ceshuwa cesh ka po/ mo ’peni mii kun miinu mii ma gwar’de/ mo mmo’ce’d gwongkan yansan jin torkunu mo dhali apo/ mii kun yukunu mo e mii kun ’koshuwa mee mo hili e mii ma gwar’de/ mo.
08-00	’Ban 8
08-01	Aris uni ’baar mo ka ’dete/ ’dete/ mo tani, tan gi tom buni mo kun wanuwa wan ’ba/ mo eya awak gi kal gi ’kwaniny’cesh mo gom mii jin ’ce’du gwongkan mo gom mii ma ising gana/ mo jin gamkina a’di mo e gwongkan jin ye’thkunu a’di sho’k mo walla gi gwongkan mo.
09-00	’Ban 9
09-01	Wathin tal ’deng kamu/ minu ’koki bu’th mo mmota habus mo, walla a’di minu diki ur mo bway bampang kamu/ mo.
10-00	’Ban 10
10-01	Aris uni ’baar mo ka ’dete/ ’dete/ yukunu mo e mii ma para po/ mo dhali ’kwani kun cikki gwo mo gom mo jin ’konu ki ’pen buni mo, dhali e bwaman ma Awak mo, e mo jin toru mii ma kar/em piti mo dhali mo miiya tu’c mo dhali iman’kosha mee kun miiki mii apo/i a’di mo.
11-00	’Ban 11
11-00	Aris uni ’baar mo ka ’dete/ ’dete/ miikina tu’c gom mondor ki mii kun ’thenu is mo a’di ta’d gi gwo mmo/o mo a’di jin dargi mii m’ba/ ntagi miinthus piti thimki’d mo isi ki gwongkan ma wambuhany ’kwani gi mompal mo e a’di jin tana a’di i’baar mo dhali aris gwo jin ona a’di is mo gom mo jin jetta a’di sho’ka ’cesh mo.
11-01	Wathin tal ’deng kamu/ minu diki kar miinthusa kamu/ jin midi ’kosh a’di is ka nyor mo gom tonthus mo, e bwang’kwariny gi kal gi ’kwaniny’cesh mo walla gwongkan gi kal gi ’kwaniny’cesh mo, ka tee caan mo ki a’di miiki tonthus mo. Walla a’di karkunu ton diti’d e ’bam piti jin burjurkunu a’di ki mondor mo mmobol a’din ’de/ e mo jin miiki to mo ka tee jin dorkunu a’di mo gom tonthus jin miikina a’di mo.
12-00	’Ban 12
12-01	Wathin tal ’de/ kamu/ minu ’koki mii ki miiny cingkina/ mo ki mii jin minu thul tom piti me’da po/ mo ki tom piti jin tana a’di mo, Awak piti mo, e kung gu’b piti mo walla ton tiya gunn kun cila a’di mo, walla mmo’kosh montak piti mo, dhali yer gway mo. Aris ’kwani ’baar mo uni tan gi gwongkan mo mmocesh tom buni kun tana uni ka po/ mo walla jin ’koshkunu mo.
13-00	’Ban 13
13-00	Aris ’kwani ’baar mo ka ’dete/ ’dete/ uni dhala gwonkan bway mo mmo/ii ki ’kus mo dhali mmo/ii bampa/ gi mong’ko’d gwar gi gwayu/ gi bampa/ i’baar mo.
13-01	Aris ’kwani ’baar ka ’dete/ ’dete/ uni mini dhal bampang kamu/ ’pen mo me’d bwam buni mo dhali nyakki bampam buni mo dhali ki a’di midi dok ka nyang’ko’d bway bampam piti mo.
14-00	’Ban 14
14-00	Aris ’kwani ’baar mo ka ’dete/ ’dete/ uni mini ngap bway mo dhali ’kuny bwa mo mmodi mo e bampan tiya kun ’kona ’kwani kun urkunu mo ’peni bampam buni mo ’peni monto’c bwa mo.
14-01	A’di ta gwong gana/ a’dan jin minu ’koki yuk um mo e mii jin tojuwa to’c ’kus ’peni gwo ma ising gana/ mo jin cuki mis mo ’peni ’kwani kun ’koki ta imanmii gwo a’cesh mo kun ’koki ta imanmii tonthus mo walla ’peni mii jin uru gwo mo gom mii mo dhali gwongkan gi ’kwaniny’cesh kun nyakki to mii mo.
15-00	’Ban 15
15-00	Aris ’kwani ’baar mo ka ’dete/ ’dete/ dhala gwongkan gi bampam piti a’di bway mo mmota com bampa/ mo.
15-01	Wathin tal ’deng kamu/ minu ’koki non ’twa/ mo ’peni miim buyem bampam piti mo walla minu ’koki non ’twa/ mo mmo/ak miim buyem bampam piti e mo.
16-00	’Ban 16
16-00	’Kwaning gwath dhali aris up kun cakin ki yil mo, uni minu ’koki cesh mo mo gom awak buni mo walla gom miim buyem bampam buni mo walla gom mo lung buni mo. Uni dhala gwongkan bway mo mmomash mo ki uni mini gam uci mo. Uni yukunu mo imontal ’de/ mo isi ki mii ma kar/e mo gom mii mash mo, ki embul gi mii mash mo dhali ki mom piti jin karkunu ’kup mo.
16-01	Miimash minu thim ki gwong ’kwanin su/ mo dhali gam gwo me’d ki ’bore/ mo jin thosonkina uni is mo mmotal ’de/ mo.
16-02	Awak a’di ta’da ’kang ’kup mo dhali mongka’b jin deku imontal ’de/ mo e kung ’kup piti mo dhali a’di yukunu mo ki a’di mina ’kwani cesh ka po/ mo dhali ki bampam piti mo.
17-00	’Ban 17
17-00	Aris ’kwani ’baar mo ka ’dete/ ’dete/ uni tan gi embul mo mmota ki to gom is piti mo ki ’bore/ mo, me’d isi ciki/ mo mmonyak to mii inyakki ’kwanin tiya mo.
17-01	Wathin tal ’deng kamu/ minu ’koki non ’twa/ ’peni tom piti jin tana a’di jin ishi’d ka enthus mo.
18-00	’Ban 18
18-01	Aris ’kwani ’baar mo mini ’ko ki ’kom ’pempang gana/ ’bakany e bwang kulum buni mo, eya dum buni mo dhali e monglung buni mo, a’di ta mo jin ’konu ki ’kus mo mmo/ak mo jin lunguwa lung e mo walla monggam gwo is mo, dhali di ki ’kus mo, walla a’di midi di a’di ’de/ mo, walla di mo e bwaman ma Awaka tiya mo dhali di e bwamani ’kwani mo walla di a’di ’de/ mo, dhali tor monglung piti mo walla tor monggam gwo is piti mo, dhali a’di midi miiya tu’c mo, mmolunga lung mo dhali mmohila hil ka ’thime mo.
19-00	’Ban 19
19-01	Aris ’kwani ’baar mo ka ’dete/ ’dete/ mo uni tan gi embul mo mmo/o gwo jin di’d e bwam buni mo dhali mmotor mii eya tente/ mo, a’di ta mo jin ’konu ki ’kus jin midi bu’th mo mo gom gwong kulum mo ki dargi mo jin ceshu mo mo dhali simm a’di e mo, mmobu’th mo dhali da/ar gwo jin toru mo dhali gwo kun cinu mo e to jin torkunuwa tor nycine/ mo dhali dargi mo jin aku gwayu/ e mo.
20-00	’Ban 20
20-00	Aris uni ’baar mo ka ’dete/ ’dete/ dhalu bway mo mmo’ko ki ’kus mo e mongku’th is mo gi montul is mo dhali e mo jin tula ’kwani ’kup mo.
20-01	Wathin tal ’deng kamu/ minu ’koki non ’twa/ mo ’peni montul is jin tulu ka ngul’kup mo.
21-00	’Ban 21
21-00	Aris uni ’baar mo ka ’dete/ ’dete/ mo dhala gwongkan bway mo mmonyaka tu’c mii eya hakuma gi bampam piti mo, ka ji sho’k mo walla gom wathi/ jin kwanykunu ’bakany mo e bwambori uni mo.
21-01	Aris ’kwani ’baar mo ka ’dete/ ’dete/ mo dhala gwongkan bway mo mmonyak tu’c mii mo inyakki ’kwani gi bampam piti mo.
21-02	Dhali ’kwani mini mii mo me’d bwa gi ’kwani kun ta gi moshirr kun miikina tu’c ma hakuma mo, a’di ta mii jin minu mii ki ari momo dhali aris ’kwani gi mony’cesh mini kwany to jin mina uni tak tong kar/e mo dhali uni mini tak to imontal ’de/ mo dhali mini bu’th to kun tagu ka kwal is mo walla to jin tagu ka para po/ mo e mo jin takunu uni mo.
22-00	’Ban 22
22-01	Aris uni ’baar mo ka ’dete/ ’dete/ mo, isi me’d jin tana uni imannyaka tu’c mii mo, uni tan gi moshirr mo mmo’ko ’bakany ki ’dantar mo dhali uni yukunu mo e mo jin minu ka uni e mo, e mii gi bampam buni mo dhali mii gi ’pengkuman bampan tiya mo dhali inyakki isi mii gi ’kwani kun miikina tu’c kun wothkina woth mo dhali goma aris tom buni kun ish kumma/ mo, to kun miinu me’d ka woho/ mo, mo kun nyakku to mii mo dhali gom mii kun miinu mo kun cilkina a’di mo dhali mii jin nyangkina bunggwar is gi wathimpa en’thi/ mo.
23-00	’Ban 23
23-00	Aris ’kwani ’baar mo ka ’dete/ ’dete/ uni dhala gwongkan bway mo mmomiiya tu’c ’bakany mo, dhali jin minu kwany uni mo mmomiiya tu’c mo, dhali isi ki mo mii mii ma ising gana/ mo dhali mmogama ’the eya tu’c jin miikina uni mo, dhali cesh uni gwansan ka po/ uni kun ’kokin mo ki darga tu’c mo.
23-01	Aris uni ’baar mo ka ’dete/ ’dete/, kun dargi mii ma gwar’de/ mo, uni ’kon ki ’kus mo mmoci to imontal ’de/ mo goma tu’c jin miikunu ka para po/ mo.
23-02	Aris uni ’baar mo ka ’dete/ ’dete/ kun miikina tu’c mo uni ’kon ki ’kus mo mmomii mii ma ising gana/ mo dhali gam to jin minu ci ki ’bore/ gom is buni mo ki ’dantar mo dhali goma Awak buni kun ’kokin kun taka ’kwaniny’cesh goma tu’c mo, dhali mar tom buni is mo, wakki/ a’di mishu mii mo ki ’kwanin tiya kun ceshki mo ka po/ kun ’kokin ka ngul’kup mo.
23-03	Aris ’kwani ’baar mo ka ’dete/ ’dete/ uni tan gi embul mo mmo/uk to mo dhali ki a’di minu ci’th ka warka/ mo gom to jin mina a’di yol mo gom bwam piti jin o a’di ki kal to iyol mo.
24-00	’Ban 24
24-01	Aris ’kwani ’baar mo ka ’dete/ ’dete/ uni tan gi moshirr mo mmosi/is mo dhali mmomalasa malas mo, inyakka usha tu’ca gwa’dga/ jin miikina a’di mo dhali ka tee jin sinu is mo jin cikunu to mo.
25-00	’Ban 25
25-00	Aris ’kwani ’baar mo ka ’dete/ ’dete/ mini ta gi embul mo mmo’koki/e mo gom is piti ki ’bore/ mo dhali mmokar bunggwar is piti ki dhelel dhelel mo dhali Awak piti mo, inyakki tonte/ mo dhali burrinye/ jin hi’thu i is mo dhali gu’b mo dhali thosona guruush goma dhawa/ mo dhali miiya tu’c ka ngul’kup mo, dhali ca’bki ’dantar e to kun pu’dkin mo e uni kun darga tu’c mo, uni kun ’ba’than mo dhali ’kwani kun atha is mo dhali a’bom jin wun ma kathim piti mo dhali kun cakin ki yil mo walla a’di jin gamki monyca’b piti mo e mii kun tuk ’ban mo kun jiki a’di mo.
25-01	Ata’da mo dhali ushi uci mo uni yukunu mo mmodhip ki ’bore/ mo dhali wotha woth mo. Aris ushi uci i’baar mo kun dho’thkunu mo e bwaman gi miimash mo walla ka pije/ gi miimash mo, uni mina bwa ’kuny inyakki ’kwani kun ceshkunu ka po/ mo.
26-00	’Ban 26
26-00	Aris uni ’baar mo ka ’dete/ ’dete/ uni dhala gwongkan bway mo mmomiiya awarka/ mo. Mo ma warka/ miinu mii ki me’d mo, isi ciki/ ki montel ’pen gi Mo ma warka/ jin minu mii mo. Mmo/uk to mo dhali mo ma warka/ minu nyang ki ’bore/ mo dhali Mo ma warka/ jin miinu e gu’ba caaga/ imontal ’de/ mo e mongka’b jin minu mii miim ’boro’d mo.
26-01	Mo ma warka/ minu mii tor gi ’kwaniny’cesh mo mmothim mo dhali ’bi’th ’kwani is mo mmodhu is ki gwa’d mo mmotak ’kwani kun miikina tu’c mo mmoci ’kwani bway mo e gwong kar/e mo dhali mmoci mo jin ’konu ki ’kus mo. A’di midi hal ’kwani mo jin mishu gwo ’ban mo, mmoku’c bwa ki ’kari’th mo dhali mmota mugu gi kal gi ’kwani gi mony’cesh mo, walla angul’kup mo walla ’kwani kun lungkina lung mo, dhali mii ki nyanye/ mo e ’kwani gi mony’cesh mo uni kun miiki mongku’th is mo.
26-02	Ibaba dhali ita’da uni tan gi embul mo mmokwany Mo ma warka/ jin ’boro’d mo jin mina uni dhu ucim buni nycine/ mo.
27-00	’Ban 27
27-00	Aris ’kwani ’baar mo ka ’dete/ ’dete/ uni ’kokin ki ’kus mo mmomii miim buni mo e bwaman ma Awak mo, dhali lo’b mo mmo’kuny bwa mo dhali mii mondhelele’d bway twa/a mo dhali mii miim ’boron buni mo.
27-01	Aris ’kwani ’baar mo ka ’dete/ ’dete/ mini tik miim buni e jin midi wu mo dhali aris ton tiya kun ena uni kun dhelelin mo, awarka/ mo walla to kun uku mo e a’di jin ta’da aman’kwar to mo.
28-00	’Ban 28
28-01	Aris ’kwani ’baar mo ka ’dete/ ’dete/ uni yukunu mo dhali aris ’kwaniny’cesh kun thoson ki to mo e mii ma ising gana/ mo dhali ’ko ki ’kus mo e mo jin torkunu gwo mo jin toru gwo eya tente/ mo.
29-00	’Ban 29
29-00	Aris ’kwani i’baar mo ka ’dete/ ’dete/ uni tan ga tu’c e ’kwani mo e mo jin mina a’di di a’di ’de/ ki ’kus mo dhali jin mina a’di misha atu’c piti mii mo mmomar a’di is mo.
29-01	E mii ma ising ganam piti mo dhali di ki ’kus mo, aris uni ’baar mo ka ’dete/ ka ’dete/ minu ’koki mii ki miiny cingkina/ mo jin minu jiya ji jasi ’te/ mo me’d jin torkunu gwo ki gwongkan gom wathin tal ’deng kamu/ mo gom mii kun ’konu ki ’dantar mo ki mii jin minu pi gwo mo dhali dhu is ki gwa’d mo gom mii ma ising gana/ mo dhali ’ko ki ’kus inyakki kun tiya mo dhali montul is jin dotu gwo gom miim ’boro’d mo, mmothoson ’kwani mo dhali mmokal ’kup ngwa/ pa mo mmomii ka para po/ mo.
29-02	Mii ma ising gana/ yansan mo minu ’koki mii mo gom jasi a’di mo, dhali gom ’kup gwo gi ’kwani gi mony’cesh mo.
30-00	’Ban 30
30-01	Tongkamu/ yisa di’da jin minu ’koki tor mo mmo’koki tor ’pemen eya tente/ goma ris bampan tiya mo, ’kwani kun ’kon ka non she/ mo walla wathin ’deng kamu/ jin ona bwa ki miiya tu’ca tiya mo walla a’di jin ona bwa ki uk ton tiya mo mmo’ce’da ’ce’d sho’k mo e ton tiya jin ona bwa a’di mo dhali ca’b ’bakany e mondim piti mo.
