00-00	OLMMOŠVUOIGATVUOĐAID OPPAMÁILMMÁLAS JULGAŠTUS
00-01	Danne go friddjavuođa, vanhurskkisvuođa ja ráfi vuođđu máilmmis lea buot olmmošgoddái gullevaččaid lunddolaš olmmošárvvu dovddiidus ja sin dássásaš ja massemeahttun vuoigatvuođaid dovddiidus,
00-02	danne go olgguštus olmmošvuoigatvuođain ja badjelgeahččanvuohta daid hárrái lea mielddisbuktán veahkájoaš daguid, mat leat suorggahan olmmošgotti oamedovddu, ja danne go álbmogiid alimus joksanmearrin lea dovddastuvvon dakkáraš máilmmi ovdašaddu, gos lea sárdnun- ja oskufriddjavuohta ja gos lea balus ja heađis friddjavuohta,
00-03	danne go lea vealtameahttun dárbbašlaš suodjalit olmmošvuoigatvuođaid lága bokte, amaset olbmot fertet manimuš heađisteaset stuimádaga noastit bággoválddi ja soardu vuostá,
00-04	danne go lea deaŧalaš ovddidit ustitlaš gaskavuođaid gárgedusa náššuvnnaid gaskkas,
00-05	danne go Ovttastuvvon Naššuvnnaid álbmogat lihtu bokte ođđasis duođaštit sin oskkuset olbmo vuođđovuoigatvuođaide, olmmošoktagasa árvui ja mávssolašvuhtii, olmmáiolbmo ja nissonolbmo dássásaš vuoigatvuođaide, ja leat soahpan ovddidit sosiálalaš ovdáneami ja buorránaddit eallineavttuid stuorit friddjavuođa siste,
00-06	danne go miellahttostádat leat geatnegahttán iežaset, Ovttastuvvon Náššuvnllaiguin ovttasbarggadettiin, váfistit olmmošvuoigatvuođaid oppalaš gudnejahttojumi ja doahttaleami,
00-07	danne go dáid vuoigatvuođaid ja friddjavuođaid oktasaš ipmárdusas lea stuorimus mávssolašvuohta dan fertemuša duohtandahkamis,
00-08	de danne
00-09	OAIVEČOAHKKIN
00-10	dákko bokte almmuha
00-11	dán olmmošvuoigatvuođaid oppamáilmmálaš julggaštusa oktasaš joksanmearrin buot álbmogiidda ja buot naššuvnnaide vai juohke olmmošoktagas ja juohke servodateisseváldi, álo muittus anedettiin dán julggaštusa, vikkašii oahpahusa ja bajásgeassima bokte ovddidit gudnejahttojumi dáid vuoigatvuođaid ja friddjavuođaid hárrái, ja naššuvnnalaš ja internaššuvnnalaš doaibmabijuid bokte váfistit ahte dat šaddet oppalaččat ja fámolaččat dovddastuvvot ja doahttaluvvot sihke miellahttostáhtaid iežas álbmoga siste ja daid lágaváldi vuolde orru rádjosiid álbmogiid siste.
01-00	Artihkkal 1.
01-01	Buot olbmot leat riegádan friddjan ja olmmošárvvu ja olmmošvuoigatvuođaid dáfus. Sii leat jierbmalaš olbmot geain lea oamedovdu ja sii gálggaše leat dego vieljačagat.
02-00	Artihkkal 2.
02-01	Juohkehaš lea vuoigaduvvon buot daid vuoigatvuođaide ja friddjavuođaide, mat dán julggaštusas leat namahuvvon, almmá mange vealahaga, náli, ivnni, sohkabeali, giela, oskku, politihkalaš dahje eará miellaguottu, naššuvnnalaš dahje sosiálalaš surggiideami, opmodaga, riegádeami dahje eará dilálašvuođa dáfus.
02-02	Orruneatnama dahje -guovllu politihkalaš, lágaválddálaš dahje internaššuvnnalaš dilli maiddá ii galgga váikkuhit vealahusa, lehkos dat eanan dahje guovlu iešstivrejeaddji dahje earáid geahču vuolde dahje muđui mange láhkái earáid hálddus stivrra dáfus.
03-00	Artihkkal 3.
03-01	Juohke olbmos lea vuoigatvuohta eallimii, friddjavuhtii ja persovnnalaš oadjebasvuhtii.
04-00	Artihkkal 4.
04-01	Ii oktage galgga dollojuvvot šlávvan dahje bággu bálvalusas. Šlávvavuohta ja šlávvagávppi joraheapmi, vaikko guđege vuogi mielde, galgá leat gildojuvvon.
05-00	Artihkkal 5.
05-01	Ii oktage galgga illastusa vuollái dagahuvvot dahje goaves, olmmošmeahttun dahje vuolideaddji gieđahallama dahje ráŋggáštusa vuollái.
06-00	Artihkkal 6.
06-01	Juohke olbmos lea juohke sajis vuoigatvuohta dasa, ahte son galgá dovddastuvvot olmmošoktagassan lága ovddas.
07-00	Artihkkal 7.
07-01	Buohkat leat lága ovddas dássásaččat ja almmá mangelágán vealahusa haga lea buohkain vuoigatvuohta oažžut seammá láhkasuodjalusa. Buohkain lea dássásaš vuoigatvuohta oažžut lága suodjalusa buotlágán vealahusa vuostá, man bokte dát julggaštus rihkkojuvvo, ja juohkelágán ávžžullusa vuostá danlágán vealahusa dahkamii.
08-00	Artihkkal 8.
08-01	Juohkehaččas lea vuoigatvuohta oažžut ulmmálaš veahki dohkálaš naššuvnnalaš duopmostuoluin dakkáraš daguid vuostá mat rihkkot daid vuođđodahkki vuoigatvuođaid, mat leat sutnje addon vuođđoásahusa dahje lága bokte.
09-00	Artihkkal 9.
09-01	Ii oktage galgga sahte sivas gitta váldojuvvot, giddagassii biddjojuvvot dahje riikkabáhtarussii áddjojuvvot.
10-00	Artihkkal 10
10-01	Go geange vuoigatvuođat ja geatnegasvuođat galget mearriduvvot, ja go su vuostá nostojuvvon ráŋggáštuslivahis galgá merrejuvvot, de juohke olbmos lea ollislaš dássásaš vuoigatvuohta oažžut vánhurskkis ja almmolaš ášševuodjima sorjjasmeahttun ja bealátgeahtes duopmostuolo ovddas.
11-00	Artihkkal 11.
11-01	Juohke olbmos guhte ráŋggáštusvuloš daguin sivahuvvo, lea vuoigatvuohta lohkkojuvvot vigiheapmin gitta dasságo su sivalašvuohta lea nanuduvvon almmolaš duopmostuolu riektemeanuin, main sus leat leamaš buot dat dáhkádusat mat leat dárbbašlaččat iežas bealuštussii.
11-02	Ii oktage galgga dubmejuvvot ráŋggáštussii dakkár dagu dahje šláibmahusa ovddas, mii dahkuáiggi ii lean ráŋggáštusvuloš naššuvnnalaš lága mielde dahje álbmotrievtti mielde. Iige galgga garraset duomu sáhttit cealkit go dan mii lágas leai mearriduvvon dalle go ráŋggáštusvuloš dahku dáhpáhuvai.
12-00	Artihkkal 12.
12-01	Ii oktage galgga gillát evttolaš seaguheami iežas olitahašeallimii, bearrašii, ruktui dahje reivelonohallamii, iige alageavvama gudni dahje máinnolmasvuođa ala. Juohkeilaš lea vuoigaduvvon lága suodjalussii dakkár seaguheami dahje alageavvama vuostá.
13-00	Artihkkal 13.
13-01	Juohkehaččas lea vuoigatvuohta friddja johtalit ja friddja válljet alccesis orrunsaji stáhta rájiid siskkobealde.
13-02	Juohkehaččas lea vuoigatvuohta vuolgit riikkas eret, maiddái iežas riikkas, ja máhccat ruoktot su iežas riikii.
14-00	Artihkkal 14.
14-01	Juohkehaččas lea vuoigatvuohta vierroriikkain ohcat ja oažžut dorvobáikki doarrádallama sivas.
14-02	Dát vuoigatvuohta ii sáhte čurvojuvvot doarjjan go riektedoarrádallama duođalaš vuođđun leat eahpepolitihkalaš rihkkosat dahje dagut, mat leat Ovttastuvvon Náššuvnnaid ulbmiliid ja vuođđojurdagiid vuostá.
15-00	Artihkkal 15.
15-01	Juohkehaččas lea vuoigatvuohta stáhtaboargárvuhtii.
15-02	Ii ovttasge galgga evttolaččat váldojuvvot eret stáhtaboargárvuohta, dahje biehttaluvvot vuoigatvuohta molsut stáhtaboargarvuođa.
16-00	Artihkkal 16.
16-01	Dievasahkásaš olmmáiolbmuin ja nissonolbmuin lea vuoigatvuohta náitalit ja vuođđudit bearraša almmá mange ráddjehusailaga mii boahtá nális, náššuvnnalašvuođas dahje oskkus. Sis lea gáibádus dássásaš vuoigatvuođaide náitosa dáfus, náitosa áiggi ja náitosa háddjehusa maŋŋá.
16-02	Náittosvuhtii mannan galgá dušše dalle dáhpáhuvvat go friddja ja ollislaš mieđáhus guktuid saddi beallelačcaid bealis lea duođaštuvvon.
16-03	Bearaš lea servodaga lunddolas vuođđooktavuohta ja servodat ja stáhta galgá dan suodjalit.
17-00	Artihkkal 17.
17-01	Juolliieilaččas lea vuoigatvuohta opmodaga eaiggáduššat, okto dahje earrásiiguin searválagaid.
17-02	Ii ovttasge galgga su opmodaga evttolaččat eret váldojuvvot.
18-00	Artihkkal 18.
18-01	Juohkehaččas lea vuoigatvuohta jurddašan-, oamedovddu- ja oskufriddjavuhtii. Dát vuoigatvuohta sisttisdoallá friddjavuođa religiovnna dahje oskku ovdandoallamii juogo okto dahje earrásiiguin searválagaid, almmolaččat dahje oktasaččat, oallpalleami bokte, meanuid bokte, bálvalusa bokte ja religiovnnalaš vieruid basuhemiin.
19-00	Artihkkal 19.
19-01	Juohkehaččas lea vuoigatvuohta oaivil- ja sátnefriddjavuhtii. Dát vuoigatvuohta sisttisdoallá friddjavuođa čuoččuhit oaiviliid almmá earrásiid seaguhushága, ja friddjavuođa ohcat, vuostáváldit ja almmuhit dieđuid ja oainnuid juohkelágán almmuhusgaskomiid čađa, beroškeahttá riikarájiin.
20-00	Artihkkal 20
20-01	Juohkehaččas lea vuoigatvuohta ráfálaš čoahkkimiin ja ovttastumiin friddja oassádallat.
20-02	Ii oktage galgga bággejuvvot searvat makkárge ovttastupmái.
21-00	Artihkkal 21
21-01	Juohkehaččas lea vuoigatvuohta lea osolaš iežas riikka stivrejumis, juogo vuigestaga dahje friddja válljejuvvon ovddasteddjiid bokte.
21-02	Juohkehaččas lea dássásaš vuoigatvuohta beassat iežas riikka almmolaš doaimmaide.
21-03	Álbmoga dáhttu lea almmolaš válddi vuođđu. Dát dáhttu galgá dovdosii boahtit mearreáigásaš ja duođalaš válggain main oppalaš ja dássásaš jienastanvuoigatvuohta čiegus jienasteapmi dahje eará ovttaárvosaš friddja jienastanvuohki.
22-00	Artihkkal 22
22-01	Servodatmiellahttun lea juohkehaččas vuoigatvuohta sosiálalaš oadjebasvuhtii ja juohkehaš sáhttá gáibidit ahte dat ekonomalaš, sosiálalaš ja kultuvrralaš buorit, mat leat vealtameahttun dárbbašlaččat olbmo árvui ja su persovnnalaš friddja ovdáneapmái, duohtandahkkojuvvojit naššuvnnalaš doaibmabijuid bokte ja internaššuvnnalaš ovttasbarggu bokte vuhtiiválddedettiin juohke sierralaš stáhta organisašuvnna ja veahkkeváriid.
23-00	Artihkkal 23
23-01	Juohkehaččas lea dássásaš vuoigatvuohta oažžut barggu, beassat friddja válljet alccesis fitnu, oažžut vánhurskkis ja buriid bargoeavttuid ja oažžut suodjalusa bargguhisvuođa vuostá.
23-02	Almmá mange vealahusahaga lea juohkehaččas vuoigatvuohta oažžut seammá bálkká seammá barggu ovddas.
23-03	Juohke barggolaččas lea vuoigatvuohta oažžut vánhurskkis ja govttolaš mávssu, mii dáhkida sutnje alccesis ja su bearrašii olmmošárvvolaš áigáboađu, ja mii, juos dárbbašlažžan čájehuvvo, ollistuvvo eará sosiálalaš suodjalusa bokte.
23-04	Juohkehaččas lea vuoigatvuohta vuođđudit fágaservviid, ja miellahttun searvat dakkáriidda, suodjalan dihte iežas beroštumiid.
24-00	Artihkkal 24
24-01	Juohkehaččas lea vuoigatvuohta vuoigatvuohta vuoiŋŋadussii ja luopmoáigái: dan vuoigatvuođa vuollái gullá maiddái bargoáiggi govttolaš ráddjehus ja mearreáigásaš bálkkáhuvvon luopmu.
25-00	Artihkkal 25
25-01	Juohkehaččas lea vuoigatvuohta dan muddosaš eallindássái, ahte dat dáhkida su ja su bearraša dearvvašvuođa ja buorredili borramuša, biktasiid, ásodaga ja dearvvašfuola dáfus, ja maiddái dárbbašlaš sosiálalaš addosiid dáfus ja velá lassin oadjebasvuođa dáfus go bargguhisvuohta , buohcuvuođa, bargolámisvuohta, leaskavuohta, boarisvuohta dahjege muđui birgenvádjitvuohta deaivida, masa olmmoš ieš ii leat sivalaš.
25-02	Etniin ja mánáin lea vuoigatvuohta sierralaš ovddasmorrašii ja veahkkái. Buot mánáin, lehkoset sii dal riegádan náittosvuođa siskkobealde dahje olggobealde, galgá lea seammá sosiálalaš suodjalus.
26-00	Artihkkal 26.
26-01	Juohkehaččas lea vuoigatvuohta oahpahussii. Oahpahus galgá addojuvvot almmá mávssushága, goit álgo- ja vuođđooahpahusa dáfus. Álgooahpahus galgá leat bákkolaš. Buohkain galgá leat vejolašvuohta fidnooahpahusa oažžut ja buohkaide galgá leat dássásaš vejolašvuohta váldit alit oahpahusa veajuideaset mielde.
26-02	Oahpahus galgá atnit joksanmearrin gárgedit olmmošlaš persovnnalašvuođa ja nannudit olmmošvuoigatvuođaid ja vuođđodahkki friddjavuođaid gudnejahttojumi. Dat galgá ovddidit ipmárdusa, subálašvuođa ja ustitvuođa buot naššuvnnaid, buot nállejuhkosiid ja buot religiovnna juhkosiid gaskkas ja dat galgá ovdánahttit Ovttastuvvon Naššuvnnaid barggu bisuhan dihte ráfi.
26-03	Vánhemiin lea vuosttassadjásaš vuoigatvuohta válljet sin mánáideaset várás oahpahusvuogi.
27-00	Artihkkal 27.
27-01	Juohkehaččas lea vuoigatvuohta friddja oassádallat servodaga kultuvrralaš eallimis, návddašit máhttádiin ja šaddat osolažžan dieđalaš ovdáneapmái ja daid buriide, mat das čuvvot.
27-02	Juohkehačcas lea vuoigatvuohta oažžut daidda vuoiŋŋalaš ja ávnnaslaš beroštumiide suodjalusa, mat čuvvot boađusin vaikko guđelágán dieđalas, girjjálaš dahje máhtolaš dahkosis, maid guhtege ieš lea ávdnen.
28-00	Artihkkal 28.
28-01	Juohkehaš sáhttá gáibidit dakkár sosiálalaš ja internašuvnnalaš ortnega mii ollislaččat sáhttá duohtandahkat daid vuoigatvuođaid ja friddjavuođaid , mat dán julggaštusas leat namuhuvvon.
29-00	Artihkkal 29.
29-01	Juohkellaččas leat dat geatnegasvuođat servodaga guovdu, mat aittonassii dahket vejolažžan persovnnalašvuođa friddja ja dievaslaš ovdáneami.
29-02	Geavahettiin vuoigatvuođaidis ja návddašettiin friddjavuođaidis ii leat oktage earálágán ráddjehusa vuloš, go dakkáriid mat lága bokte leat mearriduvvon aittonassii dáhkidan dihte earrásiid vuoigatvuođaid ja friddjavuođaid dárbbašlaš dovdiidusa ja gudnejahttojumi ja deavdin dihte daid gáibádusaid maid morála, almmolaš ortnet ja oppalaš buorredilli demokráhtalaš servodagas rievttuid mielde ovdandivvu.
29-03	Diet vuoigatvuođat ja friddjavuođat eai guđege dáhpáhusas sáhte adnojuvvot vuostá Ovttastuvvon Náššsuvnnaid ulbmiliid ja vuođđojurdagiid.
30-00	Artihkkal 30.
30-01	Ii mihkkige dán julggaštusas sáhte nu dulkojuvvot ahte dat vuoigada ovttage stáhta, juhkosa dahje olmmošoktagasa oassádallat dakkár doaimmas, dahje dahkat dakkár dagu, mii duššindagašii ovttage dain vuoigatvuođain dahje friddjavuođain mat leat namahuvvon Julggaštusas.
